Tata,123.123,Vix,Brasil
Tata1,123.123,Vix,Brasil
Tata2,123.123,Vix,Brasil
Tata3,123.123,Vix,Brasil
Jim Kub,943-759-8272,Port Rhoda,Nigeria
Ida Rau,915.442.9967,Tonjaland,Bahamas
Ian Fay,027.300.7965,Lazaromouth,Mayotte
Ora Fay,1-789-296-9180,Lake Deonfort,Comoros
Joe Fay,425.848.2124,Farrahfort,Dominican Republic
Mac Rau,(724) 904-1577,East Rogelio,Benin
Hye Kub,231-570-8768,West John,Taiwan
Toi Kub,(896) 445-1827,Lake Rigoberto,Sierra Leone
Tod Fay,(932) 607-1967,South Raulburgh,Swaziland
Les Kub,165.602.4522,Brandonport,Mozambique
Li Hand,835-527-7696,Johnsonhaven,Singapore
Mia Rau,643-892-0161,West Bobbie,Botswana
Rae Rau,(087) 529-8532,West Ivory,Myanmar
Ila Rau,1-224-558-4000,Port Ramonchester,Macao
Lee Rau,622-383-7586,North Danny,Equatorial Guinea
An Hane,1-181-187-7356,Satterfieldstad,Bahamas
Le Dare,1-660-924-1952,Lorrihaven,New Zealand
Lin Fay,676-530-7886,Lebsackport,Turkmenistan
Tom Kub,(418) 204-1070,West Estell,Switzerland
Wes Kub,772.774.2102,Port Shanelleberg,Equatorial Guinea
Flo Fay,1-542-766-8066,East Jaime,Switzerland
Sue Fay,1-246-575-0225,South Robt,Saint Helena
Kip Fay,1-272-835-7310,Rauborough,Norfolk Island
Chi Rau,336.047.0192,Murrayville,Slovakia (Slovak Republic)
Peg Rau,(967) 446-5013,Mindishire,Chad
Ira Rau,620.479.0278,Malikburgh,France
Bo Dare,710.000.2054,South Felicitas,Burkina Faso
Jon Fay,753.725.0136,South Nikole,Samoa
Wm Hand,433.129.3558,Lefflerhaven,Paraguay
Gay Fay,470.648.4475,Bartolettiside,Jersey
Sol Fay,516-496-2650,North Wyattshire,Jersey
Amy Kub,(468) 106-7666,Guyton,Brunei Darussalam
Bo Rice,127-965-4790,North Emersonport,Bolivia
Bud Rau,691-721-5363,Capricemouth,Zambia
Man Rau,194.970.1472,Port Merlin,Monaco
Gus Kub,321-144-4962,Gilbertfurt,Romania
Ed Koch,(556) 081-6706,West Claudio,Italy
Pa Beer,456.707.8416,Benniefort,Namibia
Al Hahn,1-907-270-4652,Olsonside,Anguilla
Jc Koch,1-811-514-9380,New Billside,Hungary
Jc Cole,062-835-6518,Fadelberg,Cocos (Keeling) Islands
Pa Koch,775-565-9856,Durganfurt,Tunisia
Ty Bode,(816) 835-1766,Ankundingtown,Ethiopia
Gia Orn,1-194-171-3503,Harrisborough,India
Jim Rau,836.857.4333,Georgettahaven,Armenia
